instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_bin,temp_bin,hum_bin,windspeed_bin,cnt_bin
1,2011-01-01,Spring,0,Jan,0,0,Sat,0,Clear,9.84,14.395,81.0,0.0,3,13,16,Malam,Dingin,Tinggi,Tenang,Sedang
2,2011-01-01,Spring,0,Jan,1,0,Sat,0,Clear,9.02,13.635,80.0,0.0,8,32,40,Malam,Dingin,Tinggi,Tenang,Tinggi
3,2011-01-01,Spring,0,Jan,2,0,Sat,0,Clear,9.02,13.635,80.0,0.0,5,27,32,Malam,Dingin,Tinggi,Tenang,Tinggi
4,2011-01-01,Spring,0,Jan,3,0,Sat,0,Clear,9.84,14.395,75.0,0.0,3,10,13,Malam,Dingin,Sedang,Tenang,Sedang
5,2011-01-01,Spring,0,Jan,4,0,Sat,0,Clear,9.84,14.395,75.0,0.0,0,1,1,Malam,Dingin,Sedang,Tenang,Rendah
6,2011-01-01,Spring,0,Jan,5,0,Sat,0,Mist,9.84,12.879999999999999,75.0,6.0032,0,1,1,Malam,Dingin,Sedang,Sedang,Rendah
7,2011-01-01,Spring,0,Jan,6,0,Sat,0,Clear,9.02,13.635,80.0,0.0,2,0,2,Pagi,Dingin,Tinggi,Tenang,Rendah
8,2011-01-01,Spring,0,Jan,7,0,Sat,0,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Pagi,Dingin,Tinggi,Tenang,Rendah
9,2011-01-01,Spring,0,Jan,8,0,Sat,0,Clear,9.84,14.395,75.0,0.0,1,7,8,Pagi,Dingin,Sedang,Tenang,Rendah
10,2011-01-01,Spring,0,Jan,9,0,Sat,0,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Pagi,Sedang,Tinggi,Tenang,Sedang
11,2011-01-01,Spring,0,Jan,10,0,Sat,0,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,Pagi,Sedang,Tinggi,Kencang,Tinggi
12,2011-01-01,Spring,0,Jan,11,0,Sat,0,Clear,14.76,16.665,81.0,19.0012,26,30,56,Pagi,Sedang,Tinggi,Kencang,Tinggi
13,2011-01-01,Spring,0,Jan,12,0,Sat,0,Clear,17.22,21.21,77.0,19.0012,29,55,84,Siang,Sedang,Tinggi,Kencang,Tinggi
14,2011-01-01,Spring,0,Jan,13,0,Sat,0,Mist,18.86,22.725,72.0,19.999499999999998,47,47,94,Siang,Sedang,Sedang,Kencang,Tinggi
15,2011-01-01,Spring,0,Jan,14,0,Sat,0,Mist,18.86,22.725,72.0,19.0012,35,71,106,Siang,Sedang,Sedang,Kencang,Tinggi
16,2011-01-01,Spring,0,Jan,15,0,Sat,0,Mist,18.04,21.97,77.0,19.999499999999998,40,70,110,Siang,Sedang,Tinggi,Kencang,Tinggi
17,2011-01-01,Spring,0,Jan,16,0,Sat,0,Mist,17.22,21.21,82.0,19.999499999999998,41,52,93,Siang,Sedang,Tinggi,Kencang,Tinggi
18,2011-01-01,Spring,0,Jan,17,0,Sat,0,Mist,18.04,21.97,82.0,19.0012,15,52,67,Siang,Sedang,Tinggi,Kencang,Tinggi
19,2011-01-01,Spring,0,Jan,18,0,Sat,0,Light Rain/Snow,17.22,21.21,88.0,16.997899999999998,9,26,35,Sore/Malam,Sedang,Tinggi,Kencang,Tinggi
20,2011-01-01,Spring,0,Jan,19,0,Sat,0,Light Rain/Snow,17.22,21.21,88.0,16.997899999999998,6,31,37,Sore/Malam,Sedang,Tinggi,Kencang,Tinggi
21,2011-01-01,Spring,0,Jan,20,0,Sat,0,Mist,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Sore/Malam,Sedang,Tinggi,Kencang,Tinggi
22,2011-01-01,Spring,0,Jan,21,0,Sat,0,Mist,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Sore/Malam,Sedang,Tinggi,Sedang,Tinggi
